year proc cat AllOverOddSF
2016 ggh SL_0 1.10763082136166
2016 ggh SL_1 16.31621491153269
2016 ggh SL_2 1.4848720739943575
2016 ggh SL_3 1.9381961323036647
2016 vbf SL_0 2.105072710777347
2016 vbf SL_1 3.2341060605784646
2016 vbf SL_2 1.9342078611025468
2016 vbf SL_3 2.0000852484799445
2016 wzh SL_0 2.358350289222103
2016 wzh SL_1 1.9344774986332813
2016 wzh SL_2 1.8482669281664237
2016 wzh SL_3 2.039303215498302
2016 tth SL_0 1.6087244627241823
2016 tth SL_1 2.155306121059539
2016 tth SL_2 1.7353147566908373
2016 tth SL_3 2.1727825600287014
2017 ggh SL_0 1.361644453061934
2017 ggh SL_1 2.1947380796012137
2017 ggh SL_2 2.1174899999815473
2017 ggh SL_3 1.8261651957415976
2017 vbf SL_0 1.6052963439926915
2017 vbf SL_1 1.360599438620242
2017 vbf SL_2 2.7881689294271332
2017 vbf SL_3 1.898467594456713
2017 wzh SL_0 1.8571149863036869
2017 wzh SL_1 2.0069646235634884
2017 wzh SL_2 2.0603325123427942
2017 wzh SL_3 2.0055034138441683
2017 tth SL_0 1.8369935863649554
2017 tth SL_1 1.8778975264714415
2017 tth SL_2 2.009671726265621
2017 tth SL_3 2.0695097844194352
2018 ggh SL_0 2.9439253607842923
2018 ggh SL_1 1.5545821972528449
2018 ggh SL_2 1.7317840844136394
2018 ggh SL_3 1.9933329815341454
2018 vbf SL_0 1.377476698801358
2018 vbf SL_1 1.6840119929049455
2018 vbf SL_2 2.453590915616557
2018 vbf SL_3 1.6267911329478102
2018 wzh SL_0 1.56117375884851
2018 wzh SL_1 1.8784161102792605
2018 wzh SL_2 2.0372605789812197
2018 wzh SL_3 2.0113059008697514
2018 tth SL_0 2.1150135613987335
2018 tth SL_1 2.0122411491071848
2018 tth SL_2 2.0679575486634367
2018 tth SL_3 2.0484747516951183
