year proc cat systematic AllOverOddSF
2016 wzh SL_0 NOMINAL 1.9339955208822812
2016 wzh SL_0 MvaShiftUp01sigma 1.7594938963446782
2016 wzh SL_0 SigmaEOverEShiftUp01sigma 2.4927967807976437
2016 wzh SL_0 MaterialCentralBarrelUp01sigma 4.014097377968972
2016 wzh SL_0 MaterialOuterBarrelUp01sigma 1.3129580250387158
2016 wzh SL_0 MaterialForwardUp01sigma 2.0313954609756952
2016 wzh SL_0 FNUFEBUp01sigma 2.057634271594447
2016 wzh SL_0 FNUFEEUp01sigma 2.0313954609756952
2016 wzh SL_0 MCScaleGain6EBUp01sigma 2.4927967807976437
2016 wzh SL_0 MCScaleGain1EBUp01sigma 2.4927967807976437
2016 wzh SL_0 JECUp01sigma 2.140840495350416
2016 wzh SL_0 JERUp01sigma 2.659298080576137
2016 wzh SL_0 PUJIDShiftUp01sigma 2.4927967807976437
2016 wzh SL_0 JECAbsoluteUp01sigma 2.3592557475511846
2016 wzh SL_0 JECAbsolute2016Up01sigma 2.33862223042182
2016 wzh SL_0 JECBBEC1Up01sigma 2.3392238245050683
2016 wzh SL_0 JECBBEC12016Up01sigma 2.3388551763731487
2016 wzh SL_0 JECEC2Up01sigma 2.4921948732208654
2016 wzh SL_0 JECEC22016Up01sigma 2.5135029305106342
2016 wzh SL_0 JECFlavorQCDUp01sigma 2.0846194731738543
2016 wzh SL_0 JECHFUp01sigma 2.4927967807976437
2016 wzh SL_0 JECHF2016Up01sigma 2.4927967807976437
2016 wzh SL_0 JECRelativeBalUp01sigma 2.3394516579579077
2016 wzh SL_0 JECRelativeSample2016Up01sigma 2.3598615309222777
2016 wzh SL_0 metJecUncertaintyUp01sigma 2.4927967807976437
2016 wzh SL_0 metJerUncertaintyUp01sigma 2.4927967807976437
2016 wzh SL_0 metPhoUncertaintyUp01sigma 2.4927967807976437
2016 wzh SL_0 metUncUncertaintyUp01sigma 1.8071720353031389
2016 wzh SL_0 ShowerShapeHighR9EBUp01sigma 1.584474413618439
2016 wzh SL_0 MCScaleHighR9EBUp01sigma 1.2584775491205722
2016 wzh SL_0 MCSmearHighR9EBRhoUp01sigma 2.6232085102115414
2016 wzh SL_0 MCSmearHighR9EBPhiUp01sigma 4.651764692633714
2016 wzh SL_0 ShowerShapeHighR9EEUp01sigma 2.553534984395797
2016 wzh SL_0 MCScaleHighR9EEUp01sigma 2.0313954609756952
2016 wzh SL_0 MCSmearHighR9EERhoUp01sigma 2.4927967807976437
2016 wzh SL_0 MCSmearHighR9EEPhiUp01sigma 1.3811670930884925
2016 wzh SL_0 ShowerShapeLowR9EBUp01sigma 3.284011840198007
2016 wzh SL_0 MCScaleLowR9EBUp01sigma 2.338476509713816
2016 wzh SL_0 MCSmearLowR9EBRhoUp01sigma 3.284011840198007
2016 wzh SL_0 MCSmearLowR9EBPhiUp01sigma 1.6546553842161738
2016 wzh SL_0 ShowerShapeLowR9EEUp01sigma 2.4927967807976437
2016 wzh SL_0 MCScaleLowR9EEUp01sigma 2.4927967807976437
